player_id,player_name,primary_position,team_name,competition_name,goals_per90_scaled,assists_per90_scaled,shots_per90_scaled,shots_on_target_per90_scaled,xg_per90_scaled,passes_attempted_per90_scaled,passes_completed_per90_scaled,progressive_passes_per90_scaled,dribbles_attempted_per90_scaled,dribbles_completed_per90_scaled,carries_per90_scaled,tackles_per90_scaled,tackles_won_per90_scaled,interceptions_per90_scaled,pressures_per90_scaled,aerial_duels_per90_scaled,aerial_duels_won_per90_scaled,duels_per90_scaled,duels_won_per90_scaled,pass_accuracy_scaled,dribble_success_rate_scaled,tackle_success_rate_scaled,aerial_success_rate_scaled,duel_success_rate_scaled
26455,José Isidoro Gómez Torres,Left Back,Real Betis,La Liga,-0.4794,-0.4748,-0.5231,0.179,-0.3459,-0.0718,-0.0526,-0.1099,-0.0802,-0.3914,-0.471,-0.014,-0.9267,-0.1422,0.2326,-0.4127,0.0,-0.3269,-0.9267,0.2078,-0.403,-1.0382,0.0,-0.9172
26456,Luís Eduardo Schmidt,Center Forward,Real Betis,La Liga,-0.4794,-0.4748,0.2616,0.588,0.0996,-1.0606,-0.9328,-1.0044,-0.3153,-0.168,-0.6838,-0.8712,-0.2445,-1.1531,-0.1217,1.1634,0.0,0.3093,-0.2445,-0.078,0.5956,1.3576,0.0,-0.3088
26459,Vicente Valcarce Cano,Left Back,Málaga,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.0228,-0.1595,-0.2015,-0.9506,-0.8806,-0.7845,-0.6253,-0.9267,-1.1531,-0.5176,-1.0054,0.0,-1.1934,-0.9267,-0.3638,-1.3986,-1.0382,0.0,-0.9172
26462,Gerardo García León,Right Center Midfield,Málaga,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.5526,-0.4407,-0.603,1.5907,3.3736,-0.4059,0.8656,-0.9267,-1.1531,0.5525,-1.0054,0.0,-0.1916,-0.9267,0.2925,1.5912,-1.0382,0.0,-0.9172
19761,Ricardo Alexandre Martins Soares Pereira,Goalkeeper,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.2877,-0.7219,-0.4022,-0.9506,-0.8806,-1.3901,-1.3707,-0.9267,-1.1531,-1.8254,-1.0054,0.0,-1.6943,-0.9267,-1.8883,-1.3986,-1.0382,0.0,-0.9172
26464,Arturo García Muñoz,Left Center Midfield,Real Betis,La Liga,-0.4794,-0.4748,-0.0992,0.179,-0.0277,-0.3354,-0.0814,0.0346,-0.0675,0.5977,-0.1947,0.0084,0.0242,-0.6421,-0.6686,-1.0054,0.0,-0.7676,0.0242,1.0548,1.5912,0.1597,0.0,0.9154
26465,Juan de Dios Prados López,Right Center Midfield,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.4977,-0.4421,-0.3179,-0.6393,-0.3595,-0.5558,1.9166,-0.9267,1.5686,0.9115,-0.6863,0.0,0.7601,-0.9267,0.0702,1.5912,-1.0382,0.0,-0.9172
26468,Willian Lanes Lanes de Lima,Left Center Back,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-1.4898,-1.3588,-1.1466,-0.9506,-0.8806,-1.4484,1.2458,-0.9267,0.4021,-0.8231,-0.5495,0.0,0.4145,-0.9267,-0.745,-1.3986,-1.0382,0.0,-0.9172
26469,Marko Babić,Left Back,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.2877,-0.2298,0.1197,-0.3153,0.183,0.1241,-0.6253,-0.9267,-0.0422,-0.3987,-1.0054,0.0,-1.1934,-0.9267,0.229,1.5912,-1.0382,0.0,-0.9172
26484,Antonio Baltasar Doblas Santana,0,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.8619,-1.214,-0.9779,-0.9506,-0.8806,-1.693,-1.3707,-0.9267,-1.1531,-1.8254,-1.0054,0.0,-1.6943,-0.9267,-2.6082,-1.3986,-1.0382,0.0,-0.9172
